Kod_Kursus,Nama_Kursus,Tahun_Kursus,Tempoh_Kursus,Bidang,Sub_Bidang,Skim_Gred,Skim_Kod,Nama_Skim
KEA0020,Kursus Kepimpinan Islam,2023,2,KEPIMPINAN,Kepimpinan,A22,A,Pengangkutan
KEA0023,Kursus Malaysia MADANI Perkhidmatan Awam,2024,2,DASAR,Pengurusan Dasar Awam,A41,A,Pengangkutan
KEA0024,TOT Modul Latihan Malaysia MADANI Perkhidmatan Awam,2023,2,DASAR,Pengurusan Dasar Awam,A44,A,Pengangkutan
KEA0025,Kursus Kompetensi Psikologi,2024,2,PSIKOLOGI,Psikologi Dan Minda,A36,A,Pengangkutan
KFA0002,Kursus Penilaian Kewangan bagi Projek Awam,2022,2,KEWANGAN,Kewangan,A41,A,Pengangkutan
KFA0006,Kursus Pengurusan Aset Alih,2022,3,KEWANGAN,Pengurusan Aset dan Stor,A22,A,Pengangkutan
KFA0008,Kursus Asas Perolehan Kerajaan (Bekalan dan Perkhidmatan),2022,4,KEWANGAN,Perolehan,A22,A,Pengangkutan
KFA0013,Kursus Introduction to Trade Policy: A Malaysian Perspective,2023,2,EKONOMI,Pengetahuan,A41,A,Pengangkutan
KFA0026,Kursus ePerolehan,2021,3,KEWANGAN,Perolehan,A19,A,Pengangkutan
KFA0027,Kursus Pengurusan Stor,2022,3,EKONOMI,Pengetahuan,A19,A,Pengangkutan
KFA0033,Kursus Penyediaan Spesifikasi dan Skema Pemarkahan Sebut Harga/ Tender,2023,2,KEWANGAN,Kewangan,A44,A,Pengangkutan
KFA0034,Kursus Pengenalan Pengurusan Aset Kerajaan,2022,3,KEWANGAN,Pengurusan Aset dan Stor,AL41,A,Pengangkutan
KFA0035,Kursus Pengenalan kepada Ekonomi Mampan (Pelaksana),2023,2,EKONOMI,Economics 101,A19,A,Pengangkutan
KFA0036,Kursus Matlamat Pembangunan Mampan (SDG): Siri Fokus Inklusiviti,2023,1,EKONOMI,Sustainable Economic Development,A41,A,Pengangkutan
KFA0039,Kursus Kesejahteraan Ekonomi Malaysia Madani,2023,1,EKONOMI,Pengetahuan,A19,A,Pengangkutan
KFA0042,Kursus Perolehan Mampan Kerajaan,2023,1,KEWANGAN,Perolehan,A19,A,Pengangkutan
KFA0044,Kursus Pengenalan Pengurusan Kewangan Awam,2024,3,KEWANGAN,Kewangan,A19,A,Pengangkutan
KFA0046,Kursus Pentadbiran Kontrak Kerajaan,2024,3,KEWANGAN,Kewangan,A52,A,Pengangkutan
KFB0002,Kursus Sijil Pentauliahan Perolehan Kerajaan (SPPK) Kerja,2022,8,KEWANGAN,Perolehan,A44,A,Pengangkutan
KFB0006,Kursus Perolehan Kerajaan: Prosedur Rundingan Terus dan Pengecualian Daripada Tatacara Perolehan Kerajaan,2023,1,KEWANGAN,Perolehan,AL41,A,Pengangkutan
KLA0002,Leadership Gaps,2022,3,KEPIMPINAN,Kepimpinan,AL48,A,Pengangkutan
